fusion,topk,kmeans_k,a,b,c,ndcg5,ndcg20
normalized_sum,10,4,0.1,0.3,0.6,0.7206,0.7206
rrf,10,4,0.1,0.3,0.6,0.8155,0.8155
weighted_sum_mor_pre,10,4,0.1,0.3,0.6,0.8155,0.8155
weighted_sum_mor_post,10,4,0.1,0.3,0.6,0.7821,0.7821
normalized_sum,10,4,0.2,0.3,0.5,0.7206,0.7206
rrf,10,4,0.2,0.3,0.5,0.8155,0.8155
weighted_sum_mor_pre,10,4,0.2,0.3,0.5,0.8155,0.8155
weighted_sum_mor_post,10,4,0.2,0.3,0.5,0.7821,0.7821
normalized_sum,10,8,0.1,0.3,0.6,0.7206,0.7206
rrf,10,8,0.1,0.3,0.6,0.8155,0.8155
weighted_sum_mor_pre,10,8,0.1,0.3,0.6,0.8155,0.8155
weighted_sum_mor_post,10,8,0.1,0.3,0.6,0.8155,0.8155
normalized_sum,10,8,0.2,0.3,0.5,0.7206,0.7206
rrf,10,8,0.2,0.3,0.5,0.8155,0.8155
weighted_sum_mor_pre,10,8,0.2,0.3,0.5,0.8155,0.8155
weighted_sum_mor_post,10,8,0.2,0.3,0.5,0.8155,0.8155
normalized_sum,50,4,0.1,0.3,0.6,0.7206,0.7206
rrf,50,4,0.1,0.3,0.6,0.8155,0.8155
weighted_sum_mor_pre,50,4,0.1,0.3,0.6,0.8155,0.8155
weighted_sum_mor_post,50,4,0.1,0.3,0.6,0.7821,0.7821
normalized_sum,50,4,0.2,0.3,0.5,0.7206,0.7206
rrf,50,4,0.2,0.3,0.5,0.8155,0.8155
weighted_sum_mor_pre,50,4,0.2,0.3,0.5,0.8155,0.8155
weighted_sum_mor_post,50,4,0.2,0.3,0.5,0.7821,0.7821
normalized_sum,50,8,0.1,0.3,0.6,0.7206,0.7206
rrf,50,8,0.1,0.3,0.6,0.8155,0.8155
weighted_sum_mor_pre,50,8,0.1,0.3,0.6,0.8155,0.8155
weighted_sum_mor_post,50,8,0.1,0.3,0.6,0.8155,0.8155
normalized_sum,50,8,0.2,0.3,0.5,0.7206,0.7206
rrf,50,8,0.2,0.3,0.5,0.8155,0.8155
weighted_sum_mor_pre,50,8,0.2,0.3,0.5,0.8155,0.8155
weighted_sum_mor_post,50,8,0.2,0.3,0.5,0.8155,0.8155
